framework,framework_version,requirement_area,control_reference,capability,datamodel,governance_relevance,mapping_confidence,retention_importance,raw_retention_recommendation,searchable_retention_recommendation,edge_processing_recommendation,tiering_recommendation,source_terms,mapping_rationale,source_url,mapping_method,review_status,notes,updated_at
ISO 27001,2022,A.5.23 - Information Security for Use of Cloud Services,A.5.23,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"cloud, identity, authentication",Cloud authentication telemetry is primary potential evidence for cloud access security.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.23 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.23 - Information Security for Use of Cloud Services,A.5.23,Network Monitoring,Network_Traffic,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"cloud, network",Cloud/network traffic telemetry can support potential evidence of cloud service communications security.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.23 maps to Network_Traffic as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.24-A.5.28 - Information Security Incident Management,A.5.24-A.5.28,Incident and Case Management,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"incident, alert",Alerts can support potential evidence of incident detection into ISO incident workflows.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.24-A.5.28 maps to Alerts as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.24-A.5.28 - Information Security Incident Management,A.5.24-A.5.28,Incident and Case Management,Ticket_Management,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"incident management, case",Incident/case telemetry is primary potential evidence for ISO incident management.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.24-A.5.28 maps to Ticket_Management as primary evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.30 - ICT Readiness for Business Continuity,A.5.30,Application and Service Resilience,Databases,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"continuity, database",Database health telemetry can support potential evidence of data-tier continuity readiness.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.30 maps to Databases as supporting evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.30 - ICT Readiness for Business Continuity,A.5.30,Application and Service Resilience,Performance,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"business continuity, availability",Availability/performance telemetry is primary potential evidence for ICT continuity readiness.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.30 maps to Performance as primary evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
ISO 27001,2022,A.5.30 - ICT Readiness for Business Continuity,A.5.30,Incident and Case Management,Ticket_Management,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"continuity, incident, ticket",Continuity/incident tickets can support potential evidence of continuity response processes.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.5.30 maps to Ticket_Management as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.15-A.8.16 - Logging and Monitoring,A.8.15-A.8.16,Alerting and Detection,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"monitoring, alert",Alert outcomes can support potential evidence that monitoring produces reviewed detections.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.15-A.8.16 maps to Alerts as supporting evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.15-A.8.16 - Logging and Monitoring,A.8.15-A.8.16,Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"logging, monitoring, authentication",Authentication logs are primary potential evidence for logging controls.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.15-A.8.16 maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.15-A.8.16 - Logging and Monitoring,A.8.15-A.8.16,Endpoint Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"logging, endpoint",Endpoint logs can support potential evidence of host logging/monitoring.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.15-A.8.16 maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.15-A.8.16 - Logging and Monitoring,A.8.15-A.8.16,Network Monitoring,Network_Traffic,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"logging, network",Network logs can support potential evidence of network monitoring sources.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.15-A.8.16 maps to Network_Traffic as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.20-A.8.22 - Network Security,A.8.20-A.8.22,Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"network, configuration, change",Network configuration changes can support potential evidence of network security management.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.20-A.8.22 maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.20-A.8.22 - Network Security,A.8.20-A.8.22,Network Monitoring,Network_Sessions,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"session, network",Session telemetry can support potential evidence of network connection controls.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.20-A.8.22 maps to Network_Sessions as supporting evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.20-A.8.22 - Network Security,A.8.20-A.8.22,Network Monitoring,Network_Traffic,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"network security, segmentation, traffic",Network traffic telemetry is primary potential evidence for network security controls.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.20-A.8.22 maps to Network_Traffic as primary evidence; grouped under Network Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.24 - Use of Cryptography,A.8.24,Certificate and Crypto Monitoring,Certificates,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"cryptography, certificate, key",Certificate/crypto lifecycle telemetry is primary potential evidence for cryptography controls.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.24 maps to Certificates as primary evidence; grouped under Certificate and Crypto Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.7 - Protection Against Malware,A.8.7,Malware Monitoring,Endpoint,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"malware, endpoint",Endpoint telemetry can support potential evidence of malware prevention on hosts.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.7 maps to Endpoint as supporting evidence; grouped under Malware Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.7 - Protection Against Malware,A.8.7,Malware Monitoring,Malware,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"malware, anti-malware",Malware protection events are primary potential evidence for anti-malware controls.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.7 maps to Malware as primary evidence; grouped under Malware Monitoring.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.8 - Management of Technical Vulnerabilities,A.8.8,Vulnerability Management,Updates,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"patch, remediation",Patch/update telemetry can support potential evidence of vulnerability remediation.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.8 maps to Updates as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
ISO 27001,2022,A.8.8 - Management of Technical Vulnerabilities,A.8.8,Vulnerability Management,Vulnerabilities,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"vulnerability, technical",Vulnerability findings are primary potential evidence for technical vulnerability management.,https://www.iso.org/standard/27001,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,ISO 27001 A.8.8 maps to Vulnerabilities as primary evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(a) - Risk Analysis and Information System Security Policies,Art 21(2)(a),Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"security policy, configuration",Security-policy-related configuration changes can support potential evidence of policy implementation.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(a) maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(a) - Risk Analysis and Information System Security Policies,Art 21(2)(a),Endpoint Monitoring,Endpoint,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"information system, endpoint",Endpoint telemetry may weakly support information-system security posture evidence.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(a) maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(a) - Risk Analysis and Information System Security Policies,Art 21(2)(a),Vulnerability Management,Vulnerabilities,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"risk analysis, vulnerability",Vulnerability findings can support potential evidence informing risk analysis.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(a) maps to Vulnerabilities as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(b) - Incident Handling,Art 21(2)(b),Incident and Case Management,Alerts,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"incident, alert",Alerts can support potential evidence of incident detection into handling workflows.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(b) maps to Alerts as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(b) - Incident Handling,Art 21(2)(b),Incident and Case Management,Ticket_Management,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"incident handling, case",Incident/case telemetry is primary potential evidence for incident handling.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(b) maps to Ticket_Management as primary evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(c) - Business Continuity Backup and Crisis Management,Art 21(2)(c),Application and Service Resilience,Databases,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"backup, database",Database health can support potential evidence of data-tier continuity/backup readiness.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(c) maps to Databases as supporting evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(c) - Business Continuity Backup and Crisis Management,Art 21(2)(c),Application and Service Resilience,Performance,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"business continuity, backup, availability",Availability/performance telemetry is primary potential evidence for continuity outcomes.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(c) maps to Performance as primary evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(c) - Business Continuity Backup and Crisis Management,Art 21(2)(c),Incident and Case Management,Ticket_Management,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"crisis, incident, ticket",Crisis/incident tickets can support potential evidence of crisis-management processes.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(c) maps to Ticket_Management as supporting evidence; grouped under Incident and Case Management.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(d) - Supply Chain Security,Art 21(2)(d),Application and Service Resilience,Performance,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"supplier, service health",Third-party service health may weakly support supply-chain service dependency evidence.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(d) maps to Performance as supporting evidence; grouped under Application and Service Resilience.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(d) - Supply Chain Security,Art 21(2)(d),Change Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"supply chain, supplier, change",Supplier/system change events can support limited potential evidence of supply-chain change control.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(d) maps to Change as supporting evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(e) - Security in Acquisition Development and Maintenance,Art 21(2)(e),Change Monitoring,Change,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"acquisition, development, maintenance, change",Change events are primary potential evidence for secure acquisition/development/maintenance activity.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(e) maps to Change as primary evidence; grouped under Change Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(e) - Security in Acquisition Development and Maintenance,Art 21(2)(e),Vulnerability Management,Vulnerabilities,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"maintenance, vulnerability",Vulnerability findings can support potential evidence during system maintenance.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(e) maps to Vulnerabilities as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(f) - Policies and Procedures for Assessing Effectiveness,Art 21(2)(f),Alerting and Detection,Alerts,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"effectiveness, detection",Alert volume/trends may weakly support effectiveness assessment of detection measures.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(f) maps to Alerts as supporting evidence; grouped under Alerting and Detection.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(f) - Policies and Procedures for Assessing Effectiveness,Art 21(2)(f),Vulnerability Management,Vulnerabilities,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"effectiveness, assessment, vulnerability",Vulnerability trends can support potential evidence used when assessing control effectiveness.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(f) maps to Vulnerabilities as supporting evidence; grouped under Vulnerability Management.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(g) - Basic Cyber Hygiene Practices and Cybersecurity Training,Art 21(2)(g),Authentication Monitoring,Authentication,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"cyber hygiene, MFA, authentication","Authentication hygiene signals (e.g., failures/MFA) can support limited potential evidence of cyber hygiene.",https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(g) maps to Authentication as supporting evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(g) - Basic Cyber Hygiene Practices and Cybersecurity Training,Art 21(2)(g),Endpoint Monitoring,Endpoint,Medium,Low,Low,Retention is optional guidance only; prioritize higher-confidence governance evidence sources first.,Short searchable window is usually sufficient; archive or drop per policy.,Edge reduction is acceptable if higher-confidence evidence sources remain intact for the same control area.,Tier 3,"hygiene, endpoint, training",Endpoint telemetry may weakly support hygiene-related host practices; training itself is rarely in CIM.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(g) maps to Endpoint as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(h) - Cryptography and Encryption,Art 21(2)(h),Certificate and Crypto Monitoring,Certificates,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"cryptography, encryption, certificate",Certificate/crypto telemetry is primary potential evidence for cryptography/encryption policies in operation.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(h) maps to Certificates as primary evidence; grouped under Certificate and Crypto Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(i) - Human Resources Security Access Control and Asset Management,Art 21(2)(i),Authentication Monitoring,Authentication,High,High,High,Retain raw events for investigation and evidence review per policy; treat as high-value security telemetry.,Keep searchable through the investigation/audit window; archive thereafter per policy.,Preserve governance-relevant fields before indexing; avoid edge filtering that removes investigation evidence.,Tier 1,"access control, HR security, authentication",Authentication events are primary potential evidence for access-control aspects of this measure.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(i) maps to Authentication as primary evidence; grouped under Authentication Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(i) - Human Resources Security Access Control and Asset Management,Art 21(2)(i),Endpoint Monitoring,Compute_Inventory,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"asset management, inventory",Asset inventory telemetry can support potential evidence of asset management.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(i) maps to Compute_Inventory as supporting evidence; grouped under Endpoint Monitoring.,2026-08-03T15:52:12Z
NIS2,Directive (EU) 2022/2555,Art 21(2)(i) - Human Resources Security Access Control and Asset Management,Art 21(2)(i),Privileged Access Monitoring,Change,Medium-High,Medium,Medium,Retain where useful for investigation or operational validation; do not treat as universal mandatory retention.,Keep searchable for operational review; archive or reduce per policy when no longer needed.,Prefer preserving key fields at the edge; reduce volume only after confirming evidence fields remain.,Tier 2,"access rights, privileged",Administrative changes can support potential evidence of access-rights management.,https://eur-lex.europa.eu/eli/dir/2022/2555/oj,"Mapped from control or requirement wording to the closest CIM datamodel. DIG capability is a grouping label for navigation, not a separate standards catalog.",Draft mapping for review,NIS2 Art 21(2)(i) maps to Change as supporting evidence; grouped under Privileged Access Monitoring.,2026-08-03T15:52:12Z
